guess,run,config,good,bad,%,recall,mca,ms
1st,52-59,Tourism (-median --nothreshold --niolocking -dynaclass -silence -band -minmax -eucl -flucid),0.5,4.5,10.0,100.0,10.0,31.0
1st,52-59,Weather (-median --nothreshold --niolocking -dynaclass -silence -band -minmax -eucl -flucid),2.0,3.0,40.0,100.0,40.0,220.0
1st,276-7,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid,8.5,16.5,34.0,100.0,34.0,433.0
1st,276-7,Entertainment (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),2.5,2.5,50.0,100.0,50.0,46.0
1st,276-7,Financial (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),3.0,2.0,60.0,100.0,60.0,47.0
1st,276-7,Social (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),1.0,4.0,20.0,100.0,20.0,62.0
1st,276-7,Tourism (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),0.5,4.5,10.0,100.0,10.0,92.0
1st,276-7,Weather (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,186.0
1st,347-13,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid,8.5,16.5,34.0,100.0,34.0,436.0
1st,347-13,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid),2.5,2.5,50.0,100.0,50.0,47.0
1st,347-13,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid),3.0,2.0,60.0,100.0,60.0,31.0
1st,347-13,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid),1.0,4.0,20.0,100.0,20.0,62.0
1st,347-13,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid),0.5,4.5,10.0,100.0,10.0,47.0
1st,347-13,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -diff -flucid),1.5,3.5,30.0,100.0,30.0,249.0
1st,215-23,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid,8.5,16.5,34.0,100.0,34.0,438.0
1st,215-23,Entertainment (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid),1.0,4.0,20.0,100.0,20.0,61.0
1st,215-23,Financial (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid),3.0,2.0,60.0,100.0,60.0,47.0
1st,215-23,Social (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid),1.5,3.5,30.0,100.0,30.0,47.0
1st,215-23,Tourism (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid),1.5,3.5,30.0,100.0,30.0,46.0
1st,215-23,Weather (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -cos -flucid),1.5,3.5,30.0,100.0,30.0,237.0
1st,239-24,-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid,8.5,16.5,34.0,100.0,34.0,439.0
1st,239-24,Entertainment (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid),1.0,4.0,20.0,100.0,20.0,32.0
1st,239-24,Financial (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid),3.0,2.0,60.0,100.0,60.0,47.0
1st,239-24,Social (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,47.0
1st,239-24,Tourism (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid),1.0,4.0,20.0,100.0,20.0,78.0
1st,239-24,Weather (-median --nothreshold --niolocking -dynaclass -silence-noise -norm -lpc -cos -flucid),1.5,3.5,30.0,100.0,30.0,235.0
1st,277-8,-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid,8.5,16.5,34.0,100.0,34.0,441.0
1st,277-8,Entertainment (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid),2.5,2.5,50.0,100.0,50.0,32.0
1st,277-8,Financial (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid),3.0,2.0,60.0,100.0,60.0,64.0
1st,277-8,Social (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid),1.0,4.0,20.0,100.0,20.0,79.0
1st,277-8,Tourism (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid),0.5,4.5,10.0,100.0,10.0,31.0
1st,277-8,Weather (-median --nothreshold --niolocking -dynaclass -nopreprep -low -lpc -diff -flucid),1.5,3.5,30.0,100.0,30.0,235.0
