guess,run,config,good,bad,%,recall,mca,ms
1st,41-30,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),0.0,1.0,0.0,20.0,0.0,21.0
1st,41-30,Financial (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,125.0
1st,41-30,Social (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),2.0,3.0,40.0,100.0,40.0,91.0
1st,41-30,Tourism (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),0.5,1.0,25.0,30.0,25.0,14.0
1st,41-30,Weather (-noclustering --nothreshold --niolocking -dynaclass -silence -raw -lpc -cos -flucid),3.5,1.5,70.0,100.0,70.0,257.0
1st,39-138,-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid,8.0,9.5,45.59,100.0,35.0,515.0
1st,39-138,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid),0.0,1.0,0.0,20.0,0.0,19.0
1st,39-138,Financial (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid),1.5,3.5,30.0,100.0,30.0,108.0
1st,39-138,Social (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid),2.0,3.0,40.0,100.0,40.0,103.0
1st,39-138,Tourism (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid),0.5,1.0,25.0,30.0,25.0,13.0
1st,39-138,Weather (-noclustering --nothreshold --niolocking -dynaclass -noise -raw -lpc -cheb -flucid),4.0,1.0,80.0,100.0,80.0,272.0
1st,13-67,-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid,8.0,9.5,45.59,100.0,35.0,515.0
1st,13-67,Entertainment (-noclustering --nothreshold --niolocking -dynaclass -nopreprep -raw -lpc -cheb -flucid),0.0,1.0,0.0,20.0,0.0,16.0
